time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-07T03:26:34.980Z,36.682,-115.668,0.3,0.3,ml,8,305.87,0.265,0.15,nn,nn00804480,2021-04-07T04:09:50.834Z,"12 km N of Indian Springs, Nevada",earthquake,,13.2,,,automatic,nn,nn
2021-04-07T03:22:42.160Z,38.171,-117.873,12,1.3,ml,15,72.55,0.016,0.12,nn,nn00804478,2021-04-07T03:27:31.486Z,"31 km SE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2021-04-07T03:21:37.180Z,38.8166656,-122.8215027,2.42,1.47,md,31,49,0.009828,0.03,nc,nc73546155,2021-04-07T05:29:06.356Z,"7km NW of The Geysers, CA",earthquake,0.19,0.36,0.04,6,automatic,nc,nc
2021-04-07T03:18:03.210Z,36.6352,-115.6175,0.3,0.8,ml,10,320.2,0.403,0.21,nn,nn00804477,2021-04-07T03:23:51.353Z,"8 km NNE of Indian Springs, Nevada",earthquake,,14.8,,,automatic,nn,nn
2021-04-07T03:12:54.990Z,38.8388329,-122.8371658,1.9,0.91,md,21,83,0.001334,0.01,nc,nc73546150,2021-04-07T03:49:04.486Z,"10km NW of The Geysers, CA",earthquake,0.2,0.4,0.05,4,automatic,nc,nc
2021-04-07T03:12:33.740Z,38.7574997,-122.7261658,2.82,0.19,md,6,145,0.004213,0.01,nc,nc73546145,2021-04-07T03:38:05.413Z,"3km SE of The Geysers, CA",earthquake,0.61,0.96,0.14,2,automatic,nc,nc
2021-04-07T03:06:46.100Z,35.8601667,-117.6825,10.71,0.79,ml,8,106,0.08206,0.14,ci,ci39841464,2021-04-07T03:10:31.323Z,"22km ESE of Little Lake, CA",earthquake,0.59,1.05,0.154,10,automatic,ci,ci
2021-04-07T03:04:45.860Z,33.0806667,-115.5791667,8.16,1.32,ml,13,65,0.04035,0.22,ci,ci39841456,2021-04-07T03:08:27.555Z,"6km NE of Westmorland, CA",earthquake,0.55,0.96,0.157,26,automatic,ci,ci
2021-04-07T03:04:31.770Z,33.5983333,-116.8066667,6.27,0.39,ml,22,75,0.03583,0.21,ci,ci39841448,2021-04-07T03:08:01.304Z,"13km WNW of Anza, CA",earthquake,0.45,0.81,0.065,10,automatic,ci,ci
2021-04-07T02:57:00.320Z,17.9415,-66.8301,10,2.33,md,21,191,0.2159,0.11,pr,pr2021097002,2021-04-07T03:13:16.232Z,"5 km S of Indios, Puerto Rico",earthquake,0.42,0.55,0.2,16,reviewed,pr,pr
2021-04-07T02:55:41.530Z,19.2188333333333,-155.3765,31.47,2.67,md,46,156,,0.11,hv,hv72415297,2021-04-07T12:31:47.274Z,"10 km E of Pāhala, Hawaii",earthquake,0.44,0.66,0.167120736862993,24,reviewed,hv,hv
2021-04-07T02:55:33.420Z,19.2136666666667,-155.378833333333,31.51,1.71,md,34,157,,0.11,hv,hv72415292,2021-04-07T03:16:21.900Z,"10 km E of Pāhala, Hawaii",earthquake,0.65,0.83,0.051254420519673,17,reviewed,hv,hv
2021-04-07T02:51:56.500Z,38.1378,-117.903,10,1.6,ml,18,70.69,0.035,0.06,nn,nn00804473,2021-04-07T03:03:32.571Z,"33 km SSE of Mina, Nevada",earthquake,,0.3,,,automatic,nn,nn
2021-04-07T02:43:32.840Z,35.9598333,-117.4823333,1.29,1.03,ml,13,92,0.0981,0.17,ci,ci39841432,2021-04-07T02:47:05.785Z,"22km NNW of Searles Valley, CA",earthquake,0.48,0.61,0.126,11,automatic,ci,ci
2021-04-07T02:40:55.730Z,36.6502,-116.2592,0.1,0.1,ml,9,184.53,0.064,0.21,nn,nn00804472,2021-04-07T02:52:50.550Z,"53 km ESE of Beatty, Nevada",earthquake,,17.8,,,automatic,nn,nn
2021-04-07T02:32:42.190Z,18.0026,-67.059,7,2.53,md,14,119,0.0363,0.08,pr,pr2021097001,2021-04-07T02:55:00.618Z,"3 km NNW of La Parguera, Puerto Rico",earthquake,0.33,0.17,0.18,8,reviewed,pr,pr
2021-04-07T02:25:44.466Z,-31.0506,-71.7598,29.16,4.2,mb,,127,0.39,0.68,us,us6000dzjw,2021-04-07T12:45:30.486Z,"73 km SW of Ovalle, Chile",earthquake,4.7,5,0.264,4,reviewed,us,us
2021-04-07T02:06:07.555Z,41.5002,19.4795,10,4.1,mb,,53,0.943,0.9,us,us6000dzjv,2021-04-07T02:23:16.040Z,"18 km NNW of Shijak, Albania",earthquake,4.8,1.9,0.234,5,reviewed,us,us
2021-04-07T01:57:49.580Z,33.0881667,-115.6026667,10.26,2.17,ml,38,35,0.03791,0.24,ci,ci39841416,2021-04-07T02:01:32.525Z,"6km NNE of Westmorland, CA",earthquake,0.3,0.61,0.196,28,automatic,ci,ci
2021-04-07T01:54:28.069Z,61.5179,-149.9867,43.9,1.4,ml,,,,0.7,ak,ak0214gg1qc6,2021-04-07T03:42:21.230Z,"1 km WSW of Big Lake, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-04-07T00:55:41.937Z,60.959,-151.4017,65.2,1.6,ml,,,,0.76,ak,ak0214gfgjiq,2021-04-07T01:05:15.929Z,"18 km SW of Tyonek, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-04-07T00:48:20.240Z,17.9216,-66.8168,14,2.38,md,14,216,0.2324,0.12,pr,pr2021097000,2021-04-07T01:02:41.708Z,"8 km S of Indios, Puerto Rico",earthquake,0.48,0.57,0.14,11,reviewed,pr,pr
2021-04-07T00:47:54.000Z,33.5223333,-116.8551667,2.44,0.27,ml,10,133,0.1042,0.36,ci,ci39841392,2021-04-07T00:51:39.954Z,"9km N of Aguanga, CA",earthquake,0.88,1.53,0.121,6,automatic,ci,ci
2021-04-07T00:33:12.550Z,33.9055,-118.43,8.91,1.28,ml,13,172,0.3342,0.15,ci,ci39841368,2021-04-07T00:37:03.373Z,"2km SW of El Segundo, CA",earthquake,0.73,2.18,0.241,26,automatic,ci,ci
2021-04-07T00:19:03.223Z,60.5154,-150.18,21.4,1.4,ml,,,,0.28,ak,ak0214gf8qr6,2021-04-07T00:22:31.387Z,"19 km W of Cooper Landing, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-04-07T00:18:31.340Z,35.6803333,-117.476,4.65,0.88,ml,9,148,0.0943,0.17,ci,ci39841360,2021-04-07T00:25:47.044Z,"12km SW of Searles Valley, CA",earthquake,0.64,1.02,0.118,11,reviewed,ci,ci
2021-04-07T00:16:20.460Z,37.9203,-118.0398,2,1.2,ml,10,194.56,0.14,0.06,nn,nn00804469,2021-04-07T00:19:43.179Z,"28 km N of Dyer, Nevada",earthquake,,9.5,,,automatic,nn,nn
2021-04-07T00:12:07.050Z,34.1533333,-117.5485,10.66,0.89,ml,22,87,0.0312,0.09,ci,ci39841352,2021-04-07T00:32:24.067Z,"4km NE of Rancho Cucamonga, CA",earthquake,0.2,0.24,0.191,12,reviewed,ci,ci
2021-04-07T00:04:23.720Z,33.5873333,-116.81,8.32,0.52,ml,21,68,0.03883,0.26,ci,ci39841336,2021-04-07T00:08:05.704Z,"13km WNW of Anza, CA",earthquake,0.54,0.89,0.117,13,automatic,ci,ci
